time,A:gene off,A:gene on,A:mRNA,A:protein
0.151573,1,1,2,120
0.351273,1,1,3,120
0.518822,1,1,4,120
0.191738,2,0,4,120
0.0644366,2,0,4,121
0.208965,2,0,3,121
0.0675368,2,0,3,122
0.20724,2,0,3,123
0.820812,2,0,3,124
0.0260028,2,0,3,125
0.0766288,1,1,3,125
0.108164,1,1,4,125
0.100396,2,0,4,125
0.0529234,2,0,3,125
0.313254,2,0,3,126
1.07599,2,0,3,125
0.155897,2,0,2,125
0.283481,2,0,2,124
0.265408,2,0,2,125
0.669788,2,0,1,125
0.231536,2,0,1,126
2.31677,2,0,1,125
1.73926,2,0,1,126
2.49729,2,0,1,125
1.29988,2,0,0,125
1.29627,2,0,0,124
0.801962,2,0,0,123
5.45074,1,1,0,123
0.0425424,1,1,1,123
0.0232544,1,1,2,123
0.852655,1,1,3,123
0.200341,1,1,3,124
0.744808,2,0,3,124
1.05502,2,0,3,123
0.161317,2,0,3,122
1.19185,2,0,3,123
0.575915,2,0,3,124
0.567611,2,0,2,124
0.209785,2,0,2,123
2.81765,2,0,2,124
0.587629,2,0,1,124
0.419603,2,0,1,125
2.24841,2,0,1,126
2.87941,2,0,1,127
0.649268,2,0,1,126
0.232247,1,1,1,126
0.659111,1,1,1,127
0.188819,1,1,2,127
0.263332,1,1,2,128
0.300034,1,1,2,127
0.504698,1,1,3,127
0.241634,1,1,2,127
0.0239723,1,1,3,127
0.0625481,1,1,3,128
0.105776,1,1,4,128
0.0248851,1,1,4,127
0.0225491,1,1,3,127
0.326846,2,0,3,127
0.193362,2,0,3,128
0.99987,2,0,3,129
0.102944,2,0,3,130
0.154492,2,0,3,131
0.538807,2,0,3,132
0.0137724,2,0,3,133
1.55595,2,0,3,134
0.0794652,2,0,3,135
0.0681015,2,0,3,136
0.587794,2,0,3,137
0.580594,2,0,3,138
0.912344,2,0,2,138
0.185802,2,0,2,137
0.33759,2,0,2,138
0.289374,2,0,2,139
1.42575,2,0,2,140
0.611196,2,0,2,141
1.04486,2,0,2,142
0.208365,2,0,2,143
1.26899,2,0,2,142
0.0350055,2,0,2,141
0.607911,2,0,2,140
0.213588,2,0,2,141
1.72867,2,0,2,140
1.10763,2,0,1,140
1.03923,2,0,1,139
3.31243,2,0,1,138
0.407502,2,0,1,139
0.612607,2,0,0,139
1.74238,2,0,0,138
6.35294,2,0,0,137
4.72272,2,0,0,136
1.14398,2,0,0,135
1.5715,2,0,0,134
